experiment,request_rate,failed_requests,request_throughput,total_token_throughput,mean_ttft_ms,p50_ttft_ms,p90_ttft_ms,mean_e2el_ms,p50_e2el_ms,p90_e2el_ms
rps5,5,0,4.96,3805.48,86.04,31.32,36.15,2110.59,2022.16,2076.72
rps10,10,0,9.81,7535.95,35.7,34.71,43.55,2210.06,2205.4,2311.47
rps15,15,0,14.56,11184.29,39.91,38.06,49.81,2498.78,2502.14,2680.72
rps20,20,0,19.19,14738.55,44.64,42.8,55.68,2876.55,2905.46,3052.66
rps25,25,0,23.65,18162.69,54.0,51.73,69.54,3482.87,3548.96,3731.68
rps30,30,0,27.75,21309.11,73.09,70.38,99.23,4741.01,4866.45,5261.31
rps35,35,0,30.48,23408.76,102.08,102.83,142.88,6723.81,7345.84,7774.64
rps40,40,0,30.94,23764.12,110.27,105.8,160.36,7073.41,7755.58,7838.43
rps50,50,0,31.61,24275.77,131.99,126.71,199.11,7223.38,7794.56,7824.72
rps60,60,0,32.01,24584.91,166.28,163.97,256.9,7313.61,7796.27,7827.75
rps80,80,0,32.57,25012.77,307.43,335.26,460.27,7411.44,7768.74,7800.7
rps100,100,0,32.7,25112.0,475.7,575.88,641.9,7480.11,7771.66,7808.85
rps120,120,0,32.76,25158.53,538.44,583.08,790.56,7522.0,7770.88,7971.77
rps150,150,0,32.76,25156.52,705.09,780.77,995.17,7577.06,7784.88,7995.34
rps200,200,0,32.81,25197.12,735.41,777.92,1241.68,7618.62,7759.0,8392.65
rps250,250,0,32.8,25193.86,810.02,782.39,1362.61,7651.56,7779.09,8340.5
rps300,300,0,32.78,25178.33,844.09,783.75,1503.42,7678.17,7779.67,8461.8
rps400,400,0,32.79,25186.0,880.97,786.37,1643.44,7702.77,7763.98,8625.7
rps500,500,0,32.83,25211.22,894.49,782.87,1718.27,7711.55,7766.12,8689.2
