experiment,request_rate,failed_requests,request_throughput,total_token_throughput,mean_ttft_ms,p50_ttft_ms,p90_ttft_ms,mean_e2el_ms,p50_e2el_ms,p90_e2el_ms
rps5,5,0,4.98,1274.4,23.61,23.43,26.37,929.23,930.04,936.74
rps10,10,0,9.91,2537.34,23.01,22.86,25.85,927.39,926.68,933.39
rps15,15,0,14.8,3788.91,23.88,23.85,26.77,939.3,937.1,955.47
rps20,20,0,19.64,5028.93,24.02,23.99,27.13,955.23,957.3,968.86
rps25,25,0,24.44,6256.23,24.7,24.79,27.66,969.7,969.64,984.72
rps30,30,0,29.19,7472.83,25.05,25.08,27.96,986.76,984.51,1013.2
rps35,35,0,33.89,8675.51,25.66,25.6,28.88,1002.99,1003.74,1028.26
rps40,40,0,38.55,9868.21,26.85,26.75,30.42,1020.7,1022.48,1047.61
rps50,50,0,47.7,12212.18,28.47,28.37,32.27,1057.35,1060.96,1081.78
rps60,60,0,56.67,14506.94,30.92,30.91,35.57,1097.42,1102.61,1122.35
rps80,80,0,73.98,18939.37,32.85,32.88,37.45,1179.05,1189.89,1203.97
rps100,100,0,89.72,22968.88,39.7,38.86,47.48,1250.72,1264.18,1273.09
rps120,120,0,92.43,23660.89,38.34,38.59,40.63,1260.03,1272.26,1275.73
rps150,150,0,94.28,24136.5,42.52,39.52,50.84,1259.35,1267.52,1277.56
rps200,200,0,96.03,24584.91,39.1,38.77,46.08,1256.12,1262.89,1265.8
rps250,250,0,96.38,24673.09,54.17,49.31,79.94,1263.42,1263.29,1291.85
rps300,300,0,96.89,24805.08,54.0,50.72,73.2,1264.12,1263.38,1289.53
rps400,400,0,97.88,25056.64,60.02,56.44,90.46,1268.03,1265.23,1296.66
rps500,500,0,97.72,25016.28,60.13,60.87,82.21,1267.57,1267.13,1296.49
