experiment,config,failed_requests,request_throughput,total_token_throughput,mean_ttft_ms,p50_ttft_ms,p90_ttft_ms,mean_e2el_ms,p50_e2el_ms,p90_e2el_ms
baseline,baseline,0,31.71,24355.04,147.2,137.47,253.42,7191.98,7757.78,7782.74
batched-tokens-16384,batched-tokens-16384,0,31.65,24310.94,135.94,127.63,227.27,7208.72,7763.69,7798.78
batched-tokens-4096,batched-tokens-4096,0,31.66,24318.07,140.03,130.3,219.85,7203.78,7753.17,7791.25
fp8-full,fp8-full,0,38.36,29463.54,125.17,112.9,186.9,5775.22,6230.36,6376.58
fp8-weights-only,fp8-weights-only,0,35.67,27398.27,112.96,107.59,177.49,6253.67,6813.08,6866.47
kv-cache-fp8,kv-cache-fp8,0,33.61,25811.25,143.6,130.77,242.91,6754.68,7300.2,7355.73
max-seqs-256,max-seqs-256,0,31.64,24299.5,142.44,128.72,234.1,7213.71,7770.83,7818.69
max-seqs-512,max-seqs-512,0,31.67,24324.07,148.88,140.22,245.67,7204.42,7751.32,7804.15
max-seqs-64,max-seqs-64,0,20.51,15754.87,7520.61,9263.62,9298.61,10530.19,12299.26,12320.76
no-chunked-prefill,no-chunked-prefill,0,31.7,24349.41,144.92,131.63,236.36,7191.48,7747.83,7774.54
no-prefix-caching,no-prefix-caching,0,31.62,24282.79,151.06,137.11,248.0,7223.46,7776.95,7807.75
