experiment,config,failed_requests,request_throughput,total_token_throughput,mean_ttft_ms,p50_ttft_ms,p90_ttft_ms,mean_e2el_ms,p50_e2el_ms,p90_e2el_ms
baseline,baseline,0,24.28,18643.96,93.48,70.6,205.9,3719.03,3792.51,3814.82
batched-tokens-16384,batched-tokens-16384,0,24.36,18705.44,83.13,61.76,171.98,3708.27,3776.02,3802.96
batched-tokens-4096,batched-tokens-4096,0,24.49,18805.24,92.54,72.92,176.15,3685.81,3747.97,3797.15
fp8-full,fp8-full,0,29.94,22990.9,80.4,70.54,154.77,2995.17,3059.19,3084.69
fp8-weights-only,fp8-weights-only,0,28.76,22087.64,89.52,72.76,170.2,3121.85,3187.95,3231.1
kv-cache-fp8,kv-cache-fp8,0,25.41,19514.45,97.49,68.55,224.97,3547.71,3611.02,3644.83
max-seqs-256,max-seqs-256,0,24.3,18662.75,100.87,72.34,217.3,3716.88,3786.34,3817.36
max-seqs-512,max-seqs-512,0,24.4,18739.21,82.52,62.24,162.53,3702.75,3775.61,3796.56
max-seqs-64,max-seqs-64,0,20.75,15935.77,1426.57,1420.07,2177.49,4376.77,4395.11,5138.11
no-chunked-prefill,no-chunked-prefill,0,22.97,17642.29,445.63,331.82,818.76,3941.32,3855.4,4023.83
no-prefix-caching,no-prefix-caching,0,24.24,18615.09,92.58,67.07,206.6,3726.03,3795.53,3826.14
