experiment,max_concurrency,failed_requests,request_throughput,total_token_throughput,mean_ttft_ms,p50_ttft_ms,p90_ttft_ms,mean_e2el_ms,p50_e2el_ms,p90_e2el_ms
c4,4,0,2.13,1632.06,37.85,31.12,53.94,1881.56,1880.24,1892.53
c8,8,0,4.11,3157.39,64.82,71.41,105.6,1942.26,1942.66,1957.08
c16,16,0,7.68,5900.08,36.13,30.75,46.77,2072.49,2070.45,2087.47
c24,24,0,10.65,8177.1,42.99,30.67,70.67,2219.12,2222.76,2238.09
c32,32,0,13.28,10195.29,41.36,31.97,70.76,2366.33,2367.92,2392.93
c48,48,0,17.19,13199.27,48.26,40.8,73.94,2689.97,2705.51,2735.52
c64,64,0,20.42,15678.93,54.59,44.54,90.84,2996.44,3016.15,3054.38
c96,96,0,23.64,18156.88,52.7,50.45,69.46,3465.7,3540.7,3664.29
c128,128,0,23.65,18163.33,53.85,51.26,69.28,3489.23,3560.55,3734.49
c150,150,0,23.65,18162.29,54.6,52.26,70.1,3487.24,3566.85,3724.57
c180,180,0,23.65,18160.14,53.88,51.4,69.63,3487.49,3550.23,3736.98
c200,200,0,23.65,18164.4,53.75,51.52,69.53,3485.3,3555.64,3723.81
c256,256,0,23.65,18164.63,53.82,51.07,68.66,3481.08,3554.43,3720.63
